G,Date,Start (ET),Home,Opponent,Win,Tm,Opp,W,L,Streak,Day,teamname,Rk,Teams,Note,Chg,Rcrd
1,2022-10-18,7:30p,1,Philadelphia 76ers,1,126,117,1,0,W 1,2,76ers,17,76ers,"The 76ers lost to the Grizzlies last Friday and then got James Harden back on Monday (yay!), but they lost to the Rockets in overtime (boo!). Harden played 38 minutes in his first game in over a month, putting up 21 points and seven assists on understandably rusty 4-for-19 shooting (all of his made field goals were 3-pointers). Joel Embiid tore it up in the two games, averaging 37 points, nine rebounds and 5.5 assists. Despite the poor shooting in the loss to Houston, it's safe to say that Harden's return will be a net positive for Philadelphia.",5,14-12
2,2022-10-21,7:30p,0,Miami Heat,1,111,104,2,0,W 2,5,Heat,21,Heat,"It was a weird week for the Heat, who picked up a statement road win in overtime against the Celtics, but also got clobbered at home by the Pistons. Butler missed the loss to the Detroit, but averaged 23 points, 8.7 rebounds and 6.3 assists in the other three games while shooting 64 percent from the field. Tyler Herro caught fire, putting up 25.5 points per game this week on 46 percent 3-point shooting, and Bam Adebayo racked up 31 points and 10 rebounds in Thursday's win over the short-handed Clippers.",3,12-15
3,2022-10-22,7:00p,0,Orlando Magic,1,126,120,3,0,W 3,6,Magic,29,Magic,"Things were getting pretty bleak in Orlando as the Magic saw their losing streak reach nine games, but they managed to pull out an overtime victory over the Clippers on Wednesday to break the skid. Markelle Fultz has quickly gotten up to a solid minutes load and has looked good, putting up 9.5 points and four assists per game this week while knocking down a couple of 3-pointers. Paolo Banchero led the team in scoring for the week with 18.5 points per game, but he shot less than 40 percent from the field.",0,8-20
4,2022-10-24,8:00p,0,Chicago Bulls,0,102,120,3,1,L 1,1,Bulls,24,Bulls,"Mercifully, the Bulls' West Coast swing came to an end after losses to the Warriors and Kings to start the week, and the homecoming was a pleasant one with a win over the Wizards. The offense has been borderline anemic, and that's with Zach LaVine averaging 29 points per game on 49/44/86 splits this week and Nikola Vucevic dropping 20 per game on 44 percent 3-point shooting. DeMar DeRozan was uncharacteristically inefficient, shooting just 39 percent from the field.",2,11-15
5,2022-10-28,7:30p,1,Cleveland Cavaliers,0,123,132,3,2,L 2,5,Cavaliers,5,Cavaliers,"The Cavs went 2-1 this week on the strength of their defense, which allowed a stingy 99.7 points per 100 possessions. The other end wasn't as pretty, scoring just 81 points in a loss to the Knicks on Sunday. They got a boost from Jarrett Allen, though, who put up 24 points in his return from a back injury in Tuesday's win over the Lakers. Donovan Mitchell continued his excellent season, averaging 33.3 points this week on 43 percent 3-point shooting.",1,17-10
6,2022-10-30,6:00p,1,Washington Wizards,1,112,94,4,2,W 1,7,Wizards,25,Wizards,"Not a good week for Washington, which lost to the struggling Hornets and Bulls, also allowing 55 points to Anthony Davis in between. Bradley Beal left the loss to the Lakers with a hamstring strain that will sideline him for at least a week, so Kristaps Porzingis and Kyle Kuzma took the lead offensively. Porzingis averaged 25.3 points in the three games, but went a ghastly 1-for-18 from 3-point range. Kuzma averaged 23.5 points against the Lakers and Bulls after Beal's injury.",4,11-16
7,2022-11-02,7:30p,0,Cleveland Cavaliers,0,113,114,4,3,L 1,3,Cavaliers,5,Cavaliers,"The Cavs went 2-1 this week on the strength of their defense, which allowed a stingy 99.7 points per 100 possessions. The other end wasn't as pretty, scoring just 81 points in a loss to the Knicks on Sunday. They got a boost from Jarrett Allen, though, who put up 24 points in his return from a back injury in Tuesday's win over the Lakers. Donovan Mitchell continued his excellent season, averaging 33.3 points this week on 43 percent 3-point shooting.",1,17-10
8,2022-11-04,7:30p,1,Chicago Bulls,1,123,119,5,3,W 1,5,Bulls,24,Bulls,"Mercifully, the Bulls' West Coast swing came to an end after losses to the Warriors and Kings to start the week, and the homecoming was a pleasant one with a win over the Wizards. The offense has been borderline anemic, and that's with Zach LaVine averaging 29 points per game on 49/44/86 splits this week and Nikola Vucevic dropping 20 per game on 44 percent 3-point shooting. DeMar DeRozan was uncharacteristically inefficient, shooting just 39 percent from the field.",2,11-15
9,2022-11-05,7:30p,0,New York Knicks,1,133,118,6,3,W 2,6,Knicks,19,Knicks,"After a shellacking at the hands of Luka Doncic and the Dallas Mavericks on Saturday, the Knicks bounced back with tremendous defensive efforts in wins over the Cavs and Hawks, allowing fewer than 90 points in both games. Julius Randle led the way offensively with averages of 25.3 points, 10.3 rebounds and four assists, while knocking down 37 percent of his nine 3-point attempts per game. Tom Thibodeau has shaken up the rotation, leaving Derrick Rose and Cam Reddish on the outside looking in as Miles McBride gets an extended look.",4,14-13
10,2022-11-07,9:00p,0,Memphis Grizzlies,1,109,106,7,3,W 3,1,Grizzlies,4,Grizzlies,"The Grizzlies won all four games this week, making things look pretty easy in the process with a plus-12.2 net rating. Even with Ja Morant and Jaren Jackson Jr. resting (and Desmond Bane still injured), Tyus Jones, Santi Aldama and the deep Memphis roster managed to beat the full-strength Heat on Monday. Morant was brilliant in the three games he played, averaging 29 points, 8.7 rebounds and eight assists on 39 percent 3-point shooting.",3,17-9
